Job Title,Company Name,Location,Salary Range,Job Description,Apply Link,Source,Industry/Category
Senior Software Engineer,Tech Innovations Pte Ltd,Singapore,"$6000-$10000","We are seeking an experienced Senior Software Engineer to join our growing team. You will be responsible for designing and implementing scalable web applications using modern technologies. Requirements: 5+ years experience, strong knowledge of React, Node.js, and cloud platforms.",https://example.com/jobs/senior-software-engineer-001,LinkedIn,Software Development
Marketing Manager,Digital Marketing Co,Singapore,"$5000-$8000","Lead our marketing team and develop comprehensive marketing strategies. Manage social media campaigns, SEO/SEM, and content marketing. Requirements: 3+ years in marketing, proven track record of successful campaigns.",https://example.com/jobs/marketing-manager-002,JobStreet,Marketing & Sales
Data Analyst,Analytics Corp,Singapore,"$4500-$7000","Analyze complex datasets to drive business decisions. Create dashboards and reports for stakeholders. Requirements: Strong SQL skills, experience with Python/R, excellent communication skills.",https://example.com/jobs/data-analyst-003,CareerFuture SG,Data Science & Analytics
UX/UI Designer,Creative Studios,Singapore,"$4000-$6500","Design beautiful and intuitive user interfaces for web and mobile applications. Work closely with developers and product managers. Requirements: Portfolio required, proficiency in Figma, understanding of design systems.",https://example.com/jobs/ux-ui-designer-004,LinkedIn,Design & UX
Full Stack Developer,StartUp Tech,Singapore,"$5500-$9000","Build and maintain full-stack applications from conception to deployment. Work with modern JavaScript frameworks and cloud infrastructure. Requirements: Experience with React, Node.js, Docker, AWS/GCP.",https://example.com/jobs/fullstack-developer-005,LinkedIn,Software Development
HR Manager,People First Pte Ltd,Singapore,"$5000-$7500","Manage all aspects of human resources including recruitment, employee relations, and performance management. Develop HR policies and ensure compliance. Requirements: 5+ years HR experience, IHRP certification preferred.",https://example.com/jobs/hr-manager-006,JobStreet,Human Resources
Accountant,Finance Solutions,Singapore,"$3800-$5500","Handle day-to-day accounting operations including accounts payable/receivable, reconciliations, and financial reporting. Requirements: ACCA/CPA qualification, 2+ years experience, knowledge of Singapore tax regulations.",https://example.com/jobs/accountant-007,CareerFuture SG,Finance & Accounting
Customer Service Executive,Retail Excellence,Singapore,"$2500-$3500","Provide excellent customer service via phone, email, and chat. Resolve customer inquiries and complaints professionally. Requirements: Good communication skills, customer-oriented mindset, willing to work shifts.",https://example.com/jobs/customer-service-exec-008,JobStreet,Customer Service
DevOps Engineer,Cloud Systems Ltd,Singapore,"$6500-$11000","Implement and manage CI/CD pipelines, automate infrastructure deployment, and ensure system reliability. Requirements: Experience with Kubernetes, Docker, Jenkins, Terraform, and major cloud platforms.",https://example.com/jobs/devops-engineer-009,LinkedIn,Software Development
Content Writer,Media House Singapore,Singapore,"$3000-$4500","Create engaging content for websites, blogs, and social media. Research industry trends and write SEO-optimized articles. Requirements: Excellent writing skills, portfolio of published work, experience with content management systems.",https://example.com/jobs/content-writer-010,Other,Marketing & Sales
Business Analyst,Consulting Firm,Singapore,"$5000-$8000","Work with stakeholders to gather requirements and analyze business processes. Create documentation and propose solutions. Requirements: Strong analytical skills, experience with requirement gathering, knowledge of Agile methodologies.",https://example.com/jobs/business-analyst-011,JobStreet,
Project Manager,Construction Excellence,Singapore,"$6000-$9500","Manage construction projects from planning to completion. Coordinate with contractors, architects, and clients. Requirements: PMP certification preferred, 5+ years in construction project management, knowledge of local building regulations.",https://example.com/jobs/project-manager-012,CareerFuture SG,Operations & Logistics
Registered Nurse,HealthCare Plus,Singapore,"$3500-$5000","Provide quality patient care in our modern hospital facility. Work in various departments including emergency, ICU, and general wards. Requirements: Valid nursing registration, 2+ years clinical experience, good bedside manner.",https://example.com/jobs/registered-nurse-013,JobStreet,Healthcare
Mobile App Developer,App Innovations,Singapore,"$5500-$9500","Develop native iOS and Android applications. Collaborate with designers and backend developers. Requirements: Experience with Swift/Kotlin, Flutter/React Native knowledge a plus, published apps in app stores.",https://example.com/jobs/mobile-developer-014,LinkedIn,Software Development
Sales Executive,Enterprise Solutions,Singapore,"$3000-$5000 + Commission","Drive B2B sales for our enterprise software solutions. Build relationships with clients and achieve sales targets. Requirements: 2+ years B2B sales experience, excellent presentation skills, self-motivated.",https://example.com/jobs/sales-executive-015,JobStreet,Marketing & Sales
